1.000000000000000000e+00 0.000000000000000000e+00 5.501392404072043973e+01
9.300610534420388209e-01 2.413692069751766667e+01 5.743352779953015386e+01
9.009599560036829491e-01 3.293155041821812290e+01 5.943595849647611828e+01
8.743938403759095035e-01 4.037446199644662670e+01 6.035373923257634488e+01
8.425927586338880504e-01 4.827690946762650981e+01 6.268990837901331759e+01
8.215772083008965332e-01 5.219352404710786431e+01 6.519294675019577312e+01
8.226772450157591177e-01 4.955007039727787799e+01 6.819659279561471976e+01
8.251213361713545247e-01 4.641360004412788243e+01 7.236832341425215986e+01
8.353929484973384723e-01 4.268629014316362458e+01 7.729096554424432952e+01
8.526059911801955327e-01 3.745021178826292640e+01 8.096208848864526431e+01
8.563732332483406928e-01 3.637900706674879103e+01 8.140932566283140659e+01
8.620951831975451896e-01 3.456899336664853450e+01 8.257774087043522115e+01
