1.000000000000000000e+00 0.000000000000000000e+00 6.994102075226977888e+01
9.356913710918797200e-01 2.406618361842300047e+01 7.402721400778210636e+01
9.066418383965056949e-01 3.203895207342031171e+01 7.752966536964979127e+01
8.859611292730205090e-01 3.715588663323404717e+01 7.919749935149155817e+01
8.553556050425106250e-01 4.334272127417764864e+01 8.203281712062255338e+01
8.380032202052772883e-01 4.478773734300219900e+01 8.586883527885862577e+01
8.364502612631925516e-01 4.434978795374728122e+01 8.720310246433203361e+01
8.373805548890626005e-01 4.199116769932536641e+01 9.153947081712061618e+01
8.418812194946818650e-01 3.901123440242774620e+01 9.512531387808040506e+01
8.446007227794359862e-01 3.524976177636453656e+01 9.799148629600625782e+01
8.462167490609838749e-01 3.450304324077499984e+01 9.865896319498824596e+01
8.501088243675730682e-01 3.233544744775662139e+01 1.005457743190661404e+02
